Rows	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
1PE	0.4	0.4	0.4	0.4	0.4	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2PE	0.9	0.9	0.9	0.9	0.9	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4PE	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1PEe	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2PEe	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rho2216d3d4	0	0	0	0	0	0	0.05576	0.05307	0.05309	0.1712	0.365	0.3264	0.2396	0.08411	0.01822	0.005076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rho2216t1t2s4	0	0	0	0	0	0	0.05576	0.05307	0.05309	0.1712	0.365	0.3264	0.2396	0.08411	0.01822	0.005076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rho2216s1234	1	1	1	1	1	1	1	1	1	1	0.9592	0.816	0.7726	0.599	0.3838	0.2103	0.08437	0.04554	0.03737	0.01269	0.00235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rho2017d234	0	0	0	0	0	0	0	0	0	0.05342	0.365	0.1535	0.005076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rho22w	0.1009	0.1394	0.1217	0.1327	0.1336	0.1327	0.2042	0.4279	0.6957	0.9124	0.9592	0.816	0.7726	0.599	0.3838	0.2103	0.08437	0.04554	0.03737	0.01269	0.00235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rho18w	1	1	1	1	1	1	1	1	1	1	0.9592	0.816	0.7726	0.599	0.3838	0.2103	0.08437	0.04554	0.03737	0.01269	0.00235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rho20w	0.08074	0.1115	0.09739	0.1061	0.1068	0.1062	0.1634	0.3423	0.5566	0.7299	0.7673	0.6528	0.6181	0.4792	0.3071	0.1682	0.0675	0.03643	0.0299	0.01015	0.00188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
